ID	所属	コミュニティ
1910	第3開発部	3
2008	第3開発部	3
176	第4開発部	0
2012	第1開発部	2
2013	第1開発部	4
23	第1開発部	4
1906	第1開発部	2
1923	第1開発部	2
2001	第1開発部	4
2004	第1開発部	4
201	第2開発部	1
52	第1開発部	0
18	コーポレート	1
226	コーポレート	1
229	コーポレート	1
231	コーポレート	1
227	コーポレート	1
123	第1開発部	4
228	コーポレート	1
41	第3開発部	3
113	コーポレート	1
46	第2開発部	1
803	第4開発部	0
131	第4開発部	0
105	第4開発部	0
910	第1開発部	4
225	コーポレート	1
211	第2開発部	1
230	コーポレート	1
802	第1開発部	4
47	第2開発部	1
1080	第1開発部	4
1607	第1開発部	4
137	コーポレート	2
194	第1開発部	4
99	第1開発部	4
199	第1開発部	4
148	第1開発部	1
114	第3開発部	3
167	第1開発部	4
208	コーポレート	0
187	第2開発部	1
72	第1開発部	4
197	第4開発部	0
95	第1開発部	4
193	第2開発部	1
970	第4開発部	0
20	第1開発部	4
88	第1開発部	4
121	第1開発部	4
817	コーポレート	0
191	コーポレート	3
210	第3開発部	3
213	第4開発部	0
108	第2開発部	1
192	コーポレート	0
178	第1開発部	4
81	第1開発部	4
1002	第1開発部	4
216	コーポレート	0
86	第1開発部	4
1084	第1開発部	4
125	第1開発部	4
19	コーポレート	0
1807	第1開発部	0
155	第2開発部	1
140	第4開発部	0
124	第1開発部	4
139	第3開発部	3
931	コーポレート	0
160	第1開発部	2
809	コーポレート	0
215	第1開発部	2
224	コーポレート	0
1501	第4開発部	0
145	第4開発部	1
128	第3開発部	3
186	第3開発部	3
110	第3開発部	3
174	第1開発部	0
98	コーポレート	0
143	第2開発部	1
132	第2開発部	1
172	第2開発部	1
170	第2開発部	1
169	コーポレート	0
106	コーポレート	1
57	第3開発部	3
21	コーポレート	0
209	第2開発部	0
212	第2開発部	1
217	コーポレート	0
133	第1開発部	4
206	コーポレート	0
223	第2開発部	1
220	第4開発部	1
222	第2開発部	1
219	第2開発部	0
218	コーポレート	0
127	第2開発部	1
115	コーポレート	1
221	第2開発部	1
147	第4開発部	0
35	第4開発部	0
